fileName;classIndex;label
Image_1705043839258_0_0.jpg;2;white-man
Image_1705043839258_0_1.jpg;0;white-square
Image_1705043839258_0_2.jpg;2;white-man
Image_1705043839258_0_3.jpg;0;white-square
Image_1705043839258_0_4.jpg;1;black-square
Image_1705043839258_0_5.jpg;0;white-square
Image_1705043839258_0_6.jpg;3;black-man
Image_1705043839258_0_7.jpg;0;white-square
Image_1705043839258_1_0.jpg;0;white-square
Image_1705043839258_1_1.jpg;2;white-man
Image_1705043839258_1_2.jpg;0;white-square
Image_1705043839258_1_3.jpg;1;black-square
Image_1705043839258_1_4.jpg;0;white-square
Image_1705043839258_1_5.jpg;3;black-man
Image_1705043839258_1_6.jpg;0;white-square
Image_1705043839258_1_7.jpg;3;black-man
Image_1705043839258_2_0.jpg;2;white-man
Image_1705043839258_2_1.jpg;0;white-square
Image_1705043839258_2_2.jpg;2;white-man
Image_1705043839258_2_3.jpg;0;white-square
Image_1705043839258_2_4.jpg;1;black-square
Image_1705043839258_2_5.jpg;0;white-square
Image_1705043839258_2_6.jpg;3;black-man
Image_1705043839258_2_7.jpg;0;white-square
Image_1705043839258_3_0.jpg;0;white-square
Image_1705043839258_3_1.jpg;2;white-man
Image_1705043839258_3_2.jpg;0;white-square
Image_1705043839258_3_3.jpg;1;black-square
Image_1705043839258_3_4.jpg;0;white-square
Image_1705043839258_3_5.jpg;3;black-man
Image_1705043839258_3_6.jpg;0;white-square
Image_1705043839258_3_7.jpg;3;black-man
Image_1705043839258_4_0.jpg;2;white-man
Image_1705043839258_4_1.jpg;0;white-square
Image_1705043839258_4_2.jpg;2;white-man
Image_1705043839258_4_3.jpg;0;white-square
Image_1705043839258_4_4.jpg;1;black-square
Image_1705043839258_4_5.jpg;0;white-square
Image_1705043839258_4_6.jpg;3;black-man
Image_1705043839258_4_7.jpg;0;white-square
Image_1705043839258_5_0.jpg;0;white-square
Image_1705043839258_5_1.jpg;2;white-man
Image_1705043839258_5_2.jpg;0;white-square
Image_1705043839258_5_3.jpg;1;black-square
Image_1705043839258_5_4.jpg;0;white-square
Image_1705043839258_5_5.jpg;3;black-man
Image_1705043839258_5_6.jpg;0;white-square
Image_1705043839258_5_7.jpg;3;black-man
Image_1705043839258_6_0.jpg;2;white-man
Image_1705043839258_6_1.jpg;0;white-square
Image_1705043839258_6_2.jpg;2;white-man
Image_1705043839258_6_3.jpg;0;white-square
Image_1705043839258_6_4.jpg;1;black-square
Image_1705043839258_6_5.jpg;0;white-square
Image_1705043839258_6_6.jpg;3;black-man
Image_1705043839258_6_7.jpg;0;white-square
Image_1705043839258_7_0.jpg;0;white-square
Image_1705043839258_7_1.jpg;2;white-man
Image_1705043839258_7_2.jpg;0;white-square
Image_1705043839258_7_3.jpg;1;black-square
Image_1705043839258_7_4.jpg;0;white-square
Image_1705043839258_7_5.jpg;3;black-man
Image_1705043839258_7_6.jpg;0;white-square
Image_1705043839258_7_7.jpg;3;black-man
Image_1705043875183_0_0.jpg;2;white-man
Image_1705043875183_0_1.jpg;0;white-square
Image_1705043875183_0_2.jpg;2;white-man
Image_1705043875183_0_3.jpg;0;white-square
Image_1705043875183_0_4.jpg;1;black-square
Image_1705043875183_0_5.jpg;0;white-square
Image_1705043875183_0_6.jpg;3;black-man
Image_1705043875183_0_7.jpg;0;white-square
Image_1705043875183_1_0.jpg;0;white-square
Image_1705043875183_1_1.jpg;2;white-man
Image_1705043875183_1_2.jpg;0;white-square
Image_1705043875183_1_3.jpg;1;black-square
Image_1705043875183_1_4.jpg;0;white-square
Image_1705043875183_1_5.jpg;3;black-man
Image_1705043875183_1_6.jpg;0;white-square
Image_1705043875183_1_7.jpg;3;black-man
Image_1705043875183_2_0.jpg;2;white-man
Image_1705043875183_2_1.jpg;0;white-square
Image_1705043875183_2_2.jpg;2;white-man
Image_1705043875183_2_3.jpg;0;white-square
Image_1705043875183_2_4.jpg;1;black-square
Image_1705043875183_2_5.jpg;1;black-square
Image_1705043875183_2_6.jpg;3;black-man
Image_1705043875183_2_7.jpg;0;white-square
